UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
153427,"R",13,"R",22,"R",59,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",10
153445,"R",665,"R",2039,"R",33,"R",717,"R",0,"R",0,"R",717,"R",416,"R",58,"R",166,"R",0,"R",0,"R",166,"R",56,"R",34,"R",13
153463,"A",,"A",,"A",,"R",8,"R",0,"R",0,"R",8,"R",5,"R",63,"A",,"A",,"A",,"A",,"A",,"A",,"R",9
153472,"A",,"A",,"A",,"R",536,"R",0,"R",0,"R",536,"R",312,"R",58,"R",42,"R",0,"R",0,"R",42,"R",12,"R",29,"R",15
153524,"R",992,"R",1498,"R",66,"R",1014,"R",0,"R",0,"R",1014,"R",524,"R",52,"R",152,"R",0,"R",0,"R",152,"R",58,"R",38,"R",19
153533,"R",350,"R",1472,"R",24,"R",293,"R",0,"R",0,"R",293,"R",171,"R",58,"R",48,"R",0,"R",0,"R",48,"R",22,"R",46,"R",14
153542,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",10
153597,"A",,"A",,"A",,"R",21,"R",0,"R",0,"R",21,"R",5,"R",24,"A",,"A",,"A",,"A",,"A",,"A",,"R",7
153603,"R",5794,"R",7388,"R",78,"R",5676,"R",0,"R",0,"R",5676,"R",4970,"R",88,"R",43,"R",0,"R",0,"R",43,"R",30,"R",70,"R",18
153630,"R",933,"R",2280,"R",41,"R",861,"R",0,"R",0,"R",861,"R",539,"R",63,"R",258,"R",0,"R",0,"R",258,"R",97,"R",38,"R",19
